report_date,value
2014-04-01,453320585
2014-04-02,355347118
2014-04-03,363877120
2014-04-04,251895894
2014-04-05,202336542
2014-04-06,129477254
2014-04-07,196936223
2014-04-08,354770149
2014-04-09,383347565
2014-04-10,386567460
2014-04-11,237829882
2014-04-12,177642053
2014-04-13,208172985
2014-04-14,309853269
2014-04-15,428681231
2014-04-16,387847838
2014-04-17,355792647
2014-04-18,239300383
2014-04-19,268729366
2014-04-20,191259529
2014-04-21,301134667
2014-04-22,285248757
2014-04-23,313677307
2014-04-24,318358891
2014-04-25,220927432
2014-04-26,151625415
2014-04-27,146837951
2014-04-28,324937272
2014-04-29,330607104
2014-04-30,260091330
2014-05-01,193045106
2014-05-02,125336258
2014-05-03,185094488
2014-05-04,303087562
2014-05-05,370924149
2014-05-06,318002728
2014-05-07,417327518
2014-05-08,392838756
2014-05-09,281479009
2014-05-10,287240171
2014-05-11,182424063
2014-05-12,325108597
2014-05-13,275241493
2014-05-14,305474522
2014-05-15,313367089
2014-05-16,231967423
2014-05-17,170983868
2014-05-18,164419642
2014-05-19,259077930
2014-05-20,453955303
2014-05-21,297799722
2014-05-22,344636549
2014-05-23,249546195
2014-05-24,160073254
2014-05-25,166943526
2014-05-26,344890868
2014-05-27,299049555
2014-05-28,276134813
2014-05-29,320549863
2014-05-30,226547701
2014-05-31,146823669
2014-06-01,183489775
2014-06-02,158219402
2014-06-03,270887462
2014-06-04,274460744
2014-06-05,380042567
2014-06-06,301413900
2014-06-07,187801995
2014-06-08,302171269
2014-06-09,366114374
2014-06-10,354031597
2014-06-11,327661453
2014-06-12,332365185
2014-06-13,216923770
2014-06-14,181574530
2014-06-15,166080126
2014-06-16,387308484
2014-06-17,270350693
2014-06-18,335262709
2014-06-19,338609087
2014-06-20,251582530
2014-06-21,177999186
2014-06-22,147180819
2014-06-23,232227670
2014-06-24,245450766
2014-06-25,264663201
2014-06-26,297628039
2014-06-27,264282703
2014-06-28,153826161
2014-06-29,158801540
2014-06-30,334054112
2014-07-01,384428753
2014-07-02,384555819
2014-07-03,297894643
2014-07-04,211649838
2014-07-05,169383796
2014-07-06,199569025
2014-07-07,272182847
2014-07-08,224240103
2014-07-09,278005555
2014-07-10,283095921
2014-07-11,208671021
2014-07-12,177644343
2014-07-13,179759885
2014-07-14,254797524
2014-07-15,334810012
2014-07-16,394890140
2014-07-17,253011280
2014-07-18,208959595
2014-07-19,210318023
2014-07-20,176449304
2014-07-21,378088594
2014-07-22,243084133
2014-07-23,265461894
2014-07-24,277044480
2014-07-25,181641088
2014-07-26,128268053
2014-07-27,151406251
2014-07-28,371762756
2014-07-29,228093046
2014-07-30,209917272
2014-07-31,191728916
2014-08-01,374884735
